"variable" "ActDesc" "Subject" "Mean" "Std"
"angleX_gravityMean" "LAYING" 10 -0.61243614 0.482310112196608
"angleX_gravityMean" "LAYING" 12 -0.5585710745 0.527698052326681
"angleX_gravityMean" "LAYING" 13 -0.500095473272172 0.429043007978976
"angleX_gravityMean" "LAYING" 18 -0.521265323901099 0.443644675902982
"angleX_gravityMean" "LAYING" 20 -0.429101555988701 0.514891139768489
"angleX_gravityMean" "LAYING" 24 -0.545993623779528 0.517548352495601
"angleX_gravityMean" "SITTING" 22 -0.618767157272727 0.0397726632902509
"angleX_gravityMean" "SITTING" 23 -0.503722187822581 0.52038738483412
"angleX_gravityMean" "SITTING" 25 -0.512418782127139 0.532829723150425
"angleX_gravityMean" "SITTING" 26 -0.482703779359694 0.602908916762799
"angleX_gravityMean" "SITTING" 27 -0.464214148670213 0.561429400954428
"angleX_gravityMean" "SITTING" 28 -0.461894213252427 0.527534814032784
"angleX_gravityMean" "STANDING" 2 -0.434486657251656 0.470737070037181
"angleX_gravityMean" "STANDING" 4 -0.576544037003155 0.523433699494144
"angleX_gravityMean" "STANDING" 9 -0.558092529201389 0.579122222140477
"angleX_gravityMean" "STANDING" 10 -0.277273605729167 0.633992994671827
"angleX_gravityMean" "STANDING" 28 -0.408664226647727 0.564381001410267
"angleX_gravityMean" "STANDING" 29 -0.560722156395348 0.540696439307968
"angleX_gravityMean" "STANDING" 30 -0.563683489947781 0.521704841899978
"angleX_gravityMean" "WALKING" 1 -0.535773765244957 0.408437249177384
"angleX_gravityMean" "WALKING" 3 -0.503323420175953 0.447615884198403
"angleX_gravityMean" "WALKING" 5 -0.598120786887417 0.559581393711231
"angleX_gravityMean" "WALKING" 6 -0.528657882923077 0.522392411327958
"angleX_gravityMean" "WALKING" 7 -0.525683267337662 0.532850006202296
"angleX_gravityMean" "WALKING" 8 -0.426316687878788 0.541026486401388
"angleX_gravityMean" "WALKING_DOWNSTAIRS" 17 -0.480323217699115 0.460377448520856
"angleX_gravityMean" "WALKING_DOWNSTAIRS" 19 -0.297667818083333 0.615127361118892
"angleX_gravityMean" "WALKING_DOWNSTAIRS" 21 -0.413916194215686 0.437561225772497
"angleX_gravityMean" "WALKING_DOWNSTAIRS" 22 -0.414028593979933 0.556981693202843
"angleX_gravityMean" "WALKING_UPSTAIRS" 8 -0.484556146813187 0.491456376002213
"angleX_gravityMean" "WALKING_UPSTAIRS" 11 -0.536003019462025 0.421992164630402
"angleX_gravityMean" "WALKING_UPSTAIRS" 14 -0.41886828720743 0.365704173515134
"angleX_gravityMean" "WALKING_UPSTAIRS" 15 -0.522572017743902 0.485506949676433
"angleX_gravityMean" "WALKING_UPSTAIRS" 16 -0.514965036584699 0.458682256646858
"angleX_gravityMean" "WALKING_UPSTAIRS" 17 -0.670442528275862 0.0078874538205753
"angleY_gravityMean" "LAYING" 10 0.255142985382828 0.31718281362856
"angleY_gravityMean" "LAYING" 12 0.0284575941434375 0.354996739679844
"angleY_gravityMean" "LAYING" 13 0.0916820400948012 0.316996978362879
"angleY_gravityMean" "LAYING" 18 0.0760076364757418 0.308179041072797
"angleY_gravityMean" "LAYING" 20 0.0836654426771187 0.388719908695299
"angleY_gravityMean" "LAYING" 24 0.0198668428905512 0.266885727089754
"angleY_gravityMean" "SITTING" 22 0.328083675454545 0.0209129547746908
"angleY_gravityMean" "SITTING" 23 0.0709910591236558 0.169215137197134
"angleY_gravityMean" "SITTING" 25 0.0307388427555012 0.294684026901334
"angleY_gravityMean" "SITTING" 26 -0.0100548626237245 0.298856028462655
"angleY_gravityMean" "SITTING" 27 0.0548380722978723 0.22582627404143
